Name,Selector,Context
"Main_Page","#mp-otd > ul > li:nth-child(3) > a:nth-child(6)","<a href="/wiki/Sports_in_the_United_States" title="Sports in the United States">American professional team spor...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(1) > th > button > span","<span class="mw-collapsible-text">hide</span>"
"81st_Golden_Globe_Awards","#Golden_Globe_Awards > a","<a href="/wiki/Golden_Globe_Awards" title="Golden Globe Awards">Golden Globe Awards</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(5) > th > a","<a href="/wiki/List_of_Golden_Globe_Awards_ceremonies" title="List of Golden Globe Awards ceremonies">Ceremonies</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > table:nth-child(4) > tbody > tr:nth-child(18) > td > div > ul > li:nth-child(1)","<li>←&nbsp;<a href="/wiki/80th_Gold...</li>"
"81st_Golden_Globe_Awards","#CITEREFOtterson2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/awards/news/golden-globe-awards-cbs-2024-1235795855/">"Golden Globe Awards to Air on ...</a>"
"81st_Golden_Globe_Awards","#CITEREFGrobar2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/jo-koy-golden-globes-host-1235679737/">"Jo Koy to Host 81st Golden Glo...</a>"
"81st_Golden_Globe_Awards","#CITEREFCampione2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/golden-globes-ratings-2024-cbs-1235699268/">"Golden Globes Audience Up 50% ...</a>"
"81st_Golden_Globe_Awards","#CITEREFDonnelly2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/film/news/golden-globes-2024-air-date-network-streaming-1235529724/">"Golden Globes Return to Sunday...</a>"
"81st_Golden_Globe_Awards","#CITEREFSchneider2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/tv/news/golden-globes-producers-2024-glenn-weiss-ricky-kirshner-1235726430/">"Golden Globes Nabs Oscar Produ...</a>"
"81st_Golden_Globe_Awards","#CITEREFPedersen2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/2024-golden-globes-winners-1235697375/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFNordyke2024 > a","<a rel="nofollow" class="external text" href="https://www.hollywoodreporter.com/movies/movie-news/golden-globes-2024-winners-list-1235781166/">"Golden Globes: Winners List"</a>"
"81st_Golden_Globe_Awards","#CITEREFLangMoreau2024 > a","<a rel="nofollow" class="external text" href="https://variety.com/2024/film/awards/golden-globes-2024-winners-list-1235859774/">"Golden Globes: 'Oppenheimer' L...</a>"
"81st_Golden_Globe_Awards","#CITEREFHipesAndreeva2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/golden-globe-nominations-2024-1235660995/">"Golden Globe Nominations: 'Bar...</a>"
"81st_Golden_Globe_Awards","#CITEREFD'Alessandro2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/barbenheimer-golden-globes-nominations-barbie-oppenheimer-1235661405/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFAndreeva2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/succession-golden-globes-tv-record-nominations-final-season-1235661410/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFSaha2023 > a","<a rel="nofollow" class="external text" href="https://www.salon.com/2023/12/11/barbenheimer-dominates-the-golden-globes-with-17-total-nominations/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFBradshaw2023 > a:nth-child(2)","<a rel="nofollow" class="external text" href="https://www.theguardian.com/film/2023/dec/11/golden-globes-barbie-2024-nominations-scorsese-oppenheimer-yorgos-yanthimos">"It's 'Barbenheimer' mark two a...</a>"
"81st_Golden_Globe_Awards","#CITEREFMarszal2024 > a","<a rel="nofollow" class="external text" href="https://www.barrons.com/news/new-look-golden-globes-prepares-to-toast-barbenheimer-f0044428">"New-look Golden Globes Prepare...</a>"
"81st_Golden_Globe_Awards","#CITEREFDonnelly2023 > a","<a rel="nofollow" class="external text" href="https://variety.com/2023/film/news/golden-globes-adds-new-categories-box-office-hits-stand-up-comedy-1235735117/">"Golden Globes Adds Two New Cat...</a>"
"81st_Golden_Globe_Awards","#cite_note-16 > span:nth-child(2) > cite > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/dick-clark-productions-and-eldridge-acquire-golden-globes/">"Dick Clark Productions and Eld...</a>"
"81st_Golden_Globe_Awards","#CITEREFHipes2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/08/golden-globes-2024-timeline-awars-1235532702/">"Golden Globes Set 2024 Nominat...</a>"
"81st_Golden_Globe_Awards","#CITEREFPedersen2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/how-to-watch-golden-globe-nominations-1235658099/">"How to Watch the Golden Globe ...</a>"
"81st_Golden_Globe_Awards","#CITEREFRose2024 > a","<a rel="nofollow" class="external text" href="https://www.hollywoodreporter.com/tv/tv-features/golden-globes-host-jo-koy-chris-rock-advice-interview-1235778500/">"Host Jo Koy's Been Charged wit...</a>"
"81st_Golden_Globe_Awards","#CITEREFSchneider2024 > a","<a rel="nofollow" class="external text" href="https://variety.com/2024/awards/news/jo-koy-golden-globes-hosting-job-2024-1235860858/">"Jo Koy on His Last-Minute Gold...</a>"
"81st_Golden_Globe_Awards","#CITEREFHibberd2024 > a","<a rel="nofollow" class="external text" href="https://www.hollywoodreporter.com/tv/tv-news/jo-koy-golden-globes-monologue-1235781124/">"Golden Globes Host Jo Koy Defe...</a>"
"81st_Golden_Globe_Awards","#CITEREFMaas2024 > a","<a rel="nofollow" class="external text" href="https://variety.com/2024/awards/news/jo-koy-golden-globes-2024-monologue-1235860557/">"Golden Globes Host Jo Koy Open...</a>"
"81st_Golden_Globe_Awards","#CITEREFWagmeister2023 > a:nth-child(2)","<a rel="nofollow" class="external text" href="https://www.cnn.com/2023/12/10/entertainment/chris-rock-and-more-comedic-actors-decline-offers-to-host-the-golden-globes/index.html">"Chris Rock and other top comed...</a>"
"81st_Golden_Globe_Awards","#CITEREFPond2023 > a","<a rel="nofollow" class="external text" href="https://www.thewrap.com/golden-globes-voters-threaten-boycott-cant-attend-ceremony-exclusive/">"Golden Globes Voters Threaten ...</a>"
"81st_Golden_Globe_Awards","#CITEREFSun2024 > a","<a rel="nofollow" class="external text" href="https://www.hollywoodreporter.com/movies/movie-news/lily-gladstone-first-indigenous-winner-2024-golden-globes-1235781229/">"Lily Gladstone Becomes First I...</a>"
"81st_Golden_Globe_Awards","#CITEREFD'Alessandro2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/golden-globes-new-box-office-category-1235661563/">"Golden Globes New Box Office T...</a>"
"81st_Golden_Globe_Awards","#CITEREFGrobar2023 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2023/12/golden-globes-stand-up-nominees-chris-rock-wanda-sykes-trevor-noah-1235661011/">"Golden Globes Stand-Up Categor...</a>"
"81st_Golden_Globe_Awards","#CITEREFWhite2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/ricky-gervais-armageddon-golden-globe-stand-up-comedy-1235698049/">"Former Golden Globes Host Rick...</a>"
"81st_Golden_Globe_Awards","#CITEREFMurphy2024 > a","<a rel="nofollow" class="external text" href="https://variety.com/2024/awards/awards/barbie-wins-golden-globe-box-office-category-1235863120/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFTrainor2023 > a","<a rel="nofollow" class="external text" href="https://themessenger.com/entertainment/golden-globes-new-categories">"Golden Globes Adds Two New Cat...</a>"
"81st_Golden_Globe_Awards","#CITEREFCarr2023 > a","<a rel="nofollow" class="external text" href="https://www.avclub.com/golden-globes-new-categories-stand-up-blockbuster-1850874261">"The Golden Globes make a play ...</a>"
"81st_Golden_Globe_Awards","#CITEREFDelgado2023 > a","<a rel="nofollow" class="external text" href="https://www.themarysue.com/new-categories-and-lack-of-real-change-highlight-golden-globes-waning-relevance/">"New Categories and Lack of Rea...</a>"
"81st_Golden_Globe_Awards","#CITEREFMcFarland2023 > a","<a rel="nofollow" class="external text" href="https://www.salon.com/2023/12/12/golden-globes-award-meaningless-2024/">"<span class="cs1-kern-left"></...</a>"
"81st_Golden_Globe_Awards","#CITEREFAndreeva2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/golden-globes-2024-cecil-b-demille-carol-burnett-award-1235695269/">"Golden Globes: No Cecil B. DeM...</a>"
"81st_Golden_Globe_Awards","#CITEREFSanchez2024 > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://www.yahoo.com/lifestyle/twitter-had-lot-jo-koys-040500610.html">"Twitter Had a Lot to Say About...</a>"
"81st_Golden_Globe_Awards","#CITEREFCurto2024 > a","<a rel="nofollow" class="external text" href="https://www.vulture.com/2024/01/golden-globes-2024-jo-koy-monologue-writers.html">"Jo Koy's Golden Globes Monolog...</a>"
"81st_Golden_Globe_Awards","#CITEREFStern2024 > a","<a rel="nofollow" class="external text" href="https://www.rollingstone.com/tv-movies/tv-movie-news/golden-globes-host-jo-koy-booed-during-monologue-blames-writers-1234941800/">"Golden Globes Host Jo Koy Booe...</a>"
"81st_Golden_Globe_Awards","#CITEREFUshe2024 > a","<a rel="nofollow" class="external text" href="https://www.usatoday.com/story/entertainment/movies/2024/01/07/jo-koy-golden-globes-opening-monologue-2024/72145197007/">"Jo Koy's Golden Globes opening...</a>"
"81st_Golden_Globe_Awards","#CITEREFTinoco2024 > a","<a rel="nofollow" class="external text" href="https://deadline.com/2024/01/jo-koy-joke-taylor-swift-golden-globes-video-1235697869/">"Jo Koy Takes Shot at Taylor Sw...</a>"
"81st_Golden_Globe_Awards","#CITEREFWelsh2024 > a","<a rel="nofollow" class="external text" href="https://www.huffpost.com/entry/taylor-swift-reaction-jo-koy-joke-golden-globes_n_659b6356e4b075f4cfd2d99a">"Taylor Swift Seems None Too Pl...</a>"
"81st_Golden_Globe_Awards","#CITEREFLi2024 > a","<a rel="nofollow" class="external text" href="https://www.theatlantic.com/culture/archive/2024/01/golden-globes-jo-koy-host/677054/">"Jo Koy's Biggest Mistake at th...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(1) > span > span > a","<a rel="nofollow" class="external text" href="https://www.goldenglobes.com/">Golden Globes official website</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(2) > a:nth-child(1) > i","<i>81st Golden Globe Awards</i>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(3) > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/golden-globes-changes-add-up-to-success/">Golden Globes Changes Add Up to...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(4) > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/jo-koy-to-host-81st-annual-golden-globe-awards/">Jo Koy to Host 81st Annual Gold...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(5) > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/the-81st-golden-globe-awards-to-air-live-on-cbs/">The 81st Golden Globe® Awards t...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(6) > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/presenters-announced-for-the-81st-annual-golden-globe-awards/">Presenters Announced for the 81...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > ul:nth-child(64) > li:nth-child(7) > a:nth-child(1)","<a rel="nofollow" class="external text" href="https://goldenglobes.com/articles/the-81st-golden-globe-awards-for-the-year-ended-december-31-2023-press-release/">The 81st Golden Globe Awards fo...</a>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(1) > th > div:nth-child(4) > ul > li:nth-child(1) > a > abbr","<abbr title="View this template" style="background: #CFB53B;;background:none transparent;border:none;box-shadow:none;padding:0;">v</abbr>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(1) > th > div:nth-child(4) > ul > li:nth-child(2) > a > abbr","<abbr title="Discuss this template" style="background: #CFB53B;;background:none transparent;border:none;box-shadow:none;padding:0;">t</abbr>"
"81st_Golden_Globe_Awards","#mw-content-text > div:nth-child(1) > div:nth-child(66) > table > tbody > tr:nth-child(1) > th > div:nth-child(4) > ul > li:nth-child(3) > a > abbr","<abbr title="Edit this template" style="background: #CFB53B;;background:none transparent;border:none;box-shadow:none;padding:0;">e</abbr>"